%EASTINGS(m) NORTHINGS(m)
%EuropeCoastLine (1:2,000000)
nan nan
180245.8 1392554.7
180078.9 1392795.2
179853.5 1393072.1
179630.2 1393381.8
179244.7 1393538.3
178796.4 1393666.3
178423.9 1393559.9
178220.3 1393245.7
178042.7 1392864.3
177947.3 1392346.2
177882.3 1391826.3
177852.0 1391369.5
177884.4 1390941.3
177884.5 1390482.5
177917.0 1390054.3
178014.6 1389687.4
178463.4 1389559.3
178918.7 1389529.1
179374.1 1389499.1
179777.3 1389603.6
179980.9 1389917.9
180160.6 1390332.1
180281.7 1390782.9
180537.7 1390503.9
180797.9 1390290.3
181149.3 1390070.6
181411.3 1390348.4
181532.2 1390799.2
181562.0 1391256.0
181561.5 1391714.8
181528.6 1392143.0
181240.3 1392391.2
180728.9 1392490.3
180271.8 1392487.5
180245.8 1392554.7
nan nan
1299763.8 -556761.2
1299394.8 -556679.7
1299016.6 -556533.1
1298605.3 -556490.7
1298231.8 -556376.6
1297820.4 -556334.2
1297446.9 -556220.0
1297007.8 -556148.2
1296676.5 -555995.0
1296364.1 -555805.8
1296028.4 -555620.0
1295678.3 -555502.5
1295412.8 -555306.9
1294997.1 -555231.6
1294720.2 -555469.3
1294769.2 -555994.1
1294599.4 -556316.6
1294378.2 -556613.0
1294133.6 -556912.6
1293959.2 -557202.6
1293896.5 -557609.8
1293959.7 -558066.1
1293948.1 -558499.6
1293964.5 -558962.3
1294088.9 -559343.7
1294203.4 -559826.0
1294355.6 -560236.8
1294503.4 -560614.9
1294039.8 -560712.3
1293731.9 -560555.6
1293372.6 -560372.8
1293064.8 -560216.1
1292691.1 -560101.7
1292355.4 -559915.5
1291981.9 -559801.1
1291585.0 -559689.9
1291216.0 -559607.9
1290861.4 -559457.5
1290426.7 -559417.9
1290053.3 -559303.3
1289679.9 -559188.8
1289268.6 -559145.8
1288895.2 -559031.2
1288601.9 -558805.9
1288450.0 -558395.0
1288378.3 -557873.6
1288441.4 -557466.3
1288453.2 -557033.1
1288343.6 -556583.2
1288187.3 -556139.8
1288025.4 -555830.0
1287807.9 -555461.5
1287557.1 -555197.1
1287353.1 -554926.4
1287036.6 -554704.2
1286659.0 -554556.9
1286248.1 -554513.8
1285875.0 -554399.0
1285464.2 -554355.9
1284987.7 -554354.9
1284572.4 -554279.1
1284138.1 -554239.1
1283727.3 -554195.8
1283312.0 -554119.9
1282901.2 -554076.5
1282528.3 -553961.6
1282089.8 -553888.9
1281721.2 -553806.5
1281306.1 -553730.4
1280829.7 -553729.1
1280414.5 -553653.1
1279900.3 -553723.4
1279423.9 -553721.9
1278909.7 -553792.1
1278414.5 -553826.5
1277984.9 -553818.6
1277569.9 -553742.4
1277131.4 -553669.2
1276758.7 -553554.1
1276451.6 -553396.6
1276078.9 -553281.4
1275706.2 -553166.1
1275267.9 -553092.9
1274861.8 -553081.6
1274343.2 -553118.8
1274010.3 -553296.8
1273603.0 -553451.6
1273088.9 -553521.3
1272612.7 -553519.4
1272240.1 -553403.8
1271867.6 -553288.4
1271494.9 -553172.9
1271099.1 -553060.4
1270792.2 -552902.8
1270523.4 -552673.7
1270273.5 -552408.8
1270042.5 -552108.1
1269830.5 -551771.8
1269519.4 -551581.5
1269099.0 -551638.2
1268821.6 -551874.7
1268944.5 -552256.3
1268950.5 -552653.8
1268511.0 -552746.2
1268035.0 -552744.0
1267639.2 -552631.5
1267266.8 -552515.7
1266852.1 -552438.7
1266422.8 -552430.2
1266008.1 -552353.2
1265635.8 -552237.5
1265221.2 -552160.4
1264787.5 -552119.1
1264377.3 -552074.7
1263901.4 -552072.2
1263448.9 -552066.6
1262973.0 -552064.0
1262497.0 -552061.4
1262044.5 -552055.6
1262254.7 -552027.4
1262730.6 -552030.1
1263248.9 -551993.8
1263577.4 -551783.9
1263803.7 -551521.3
1263573.1 -551220.5
1263135.3 -551146.5
1262729.5 -551134.6
1262315.0 -551057.3
1261839.2 -551054.7
1261363.4 -551052.1
1260910.9 -551046.2
1260452.6 -551173.9
1260045.2 -551327.8
1259527.1 -551363.8
1259068.7 -551491.3
1259026.4 -551530.1
1258573.9 -551524.2
1258163.9 -551479.4
1257768.5 -551366.2
1257354.1 -551288.8
1256920.8 -551246.9
1256510.8 -551202.0
1256016.0 -551234.6
1255557.6 -551361.9
